published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1234.00,1234.20,1234.00,1234.20,2.00,510.00,629342.00,1,1
2024-12-02,1210.00,1210.00,1210.00,1210.00,-0.82,15.00,18150.00,-1,2
2024-12-01,1201.50,1220.00,1180.00,1220.00,-0.49,150.00,180150.00,-1,3
2024-11-28,1226.00,1226.00,1226.00,1226.00,-2.00,10.00,12260.00,-1,4
2024-11-20,1251.00,1251.00,1251.00,1251.00,0.08,100.00,125100.00,1,5
2024-11-14,1239.00,1250.00,1239.00,1250.00,1.21,200.00,248900.00,1,6
2024-11-10,1235.00,1235.00,1235.00,1235.00,0.24,200.00,247000.00,1,7
2024-11-06,1232.00,1232.00,1232.00,1232.00,0.16,30.00,36960.00,1,8
2024-10-29,1230.00,1230.00,1210.00,1230.00,1.65,275.00,337750.00,1,9
2024-10-27,1210.00,1210.00,1210.00,1210.00,-1.55,25.00,30250.00,-1,10
2024-10-24,1227.00,1229.00,1227.00,1229.00,1.99,90.00,110530.00,1,11
2024-10-21,1205.00,1205.00,1205.00,1205.00,0.84,125.00,150625.00,1,12
2024-10-17,1190.00,1195.00,1190.00,1195.00,-0.83,125.00,148875.00,-1,13
2024-10-16,1205.00,1205.00,1205.00,1205.00,-0.33,25.00,30125.00,-1,14
2024-09-30,1208.90,1209.00,1208.90,1209.00,3.96,225.00,271909.00,1,15
2024-09-29,1163.00,1163.00,1163.00,1163.00,1.04,25.00,29075.00,1,16
2024-09-09,1151.00,1151.00,1151.00,1151.00,-0.14,25.00,28775.00,-1,17
2024-09-04,1152.60,1152.60,1152.60,1152.60,2.00,25.00,28815.00,1,18
2024-08-25,1130.00,1130.00,1130.00,1130.00,0.44,25.00,28250.00,1,19
2024-08-15,1111.00,1125.00,1111.00,1125.00,0.45,70.00,78400.00,1,20
2024-08-13,1120.00,1120.00,1120.00,1120.00,0.90,100.00,112000.00,1,21
2024-08-12,1130.00,1130.00,1110.00,1110.00,-0.89,85.00,94850.00,-1,22
2024-08-07,1130.00,1130.00,1130.00,1130.00,-1.50,26.00,29370.00,-1,23
2024-08-05,1160.20,1160.20,1137.00,1137.00,-3.95,173.00,199021.00,-1,24
2024-08-01,1183.80,1183.80,1183.80,1183.80,3.92,11.00,13045.90,1,25
2024-07-31,1139.19,1139.19,1139.19,1139.19,0.00,2.00,2346.49,0,26
2024-07-30,1116.90,1116.90,1116.90,1116.90,2.00,11.00,12308.10,1,27
2024-07-28,1095.00,1095.00,1095.00,1095.00,3.44,25.00,27375.00,1,28
2024-07-25,1058.60,1058.60,1058.60,1058.60,0.00,1.00,1079.70,0,29
2024-07-24,1058.60,1058.60,1058.60,1058.60,-1.99,25.00,26465.00,-1,30
2024-07-22,1080.10,1080.10,1080.10,1080.10,-1.82,25.00,27002.50,-1,31
2024-07-18,1100.10,1100.10,1100.10,1100.10,-1.86,25.00,27502.50,-1,32
2024-07-16,1120.90,1120.90,1120.90,1120.90,-0.36,25.00,28022.50,-1,33
2024-07-15,1125.00,1125.00,1125.00,1125.00,-1.78,30.00,33750.00,-1,34
2024-07-11,1145.40,1145.40,1145.40,1145.40,0.00,390.00,446706.00,0,35
2024-07-10,1145.40,1145.40,1145.40,1145.40,1.99,75.00,85905.00,1,36
2024-07-09,1123.00,1123.00,1123.00,1123.00,-1.96,25.00,28075.00,-1,37
2024-07-08,1145.40,1145.40,1145.40,1145.40,0.00,50.00,57270.00,0,38
2024-07-07,1130.00,1145.40,1130.00,1145.40,1.99,425.00,485245.00,1,39
2024-07-04,1123.00,1123.00,1123.00,1123.00,0.00,25.00,28075.00,0,40
2024-07-01,1123.00,1123.00,1123.00,1123.00,-1.84,25.00,28075.00,-1,41
2024-06-27,1100.50,1144.00,1100.00,1144.00,6.02,100.00,112102.50,1,42
2024-06-24,1079.00,1079.00,1079.00,1079.00,0.37,50.00,53950.00,1,43
2024-06-10,1075.00,1075.00,1075.00,1075.00,-1.38,25.00,26875.00,-1,44
2024-06-09,1090.10,1090.10,1090.00,1090.00,-1.80,50.00,54502.50,-1,45
2024-05-26,1110.00,1110.00,1110.00,1110.00,-0.56,100.00,111000.00,-1,46
2024-05-21,1120.00,1120.00,1116.30,1116.30,-1.99,65.00,72744.50,-1,47
2024-05-20,1116.90,1139.00,1116.00,1139.00,4.02,250.00,281186.00,1,48
2024-05-19,1095.00,1095.00,1095.00,1095.00,-0.46,55.00,60225.00,-1,49
2024-05-16,1100.10,1100.10,1100.10,1100.10,0.47,25.00,27502.50,1,50
2024-05-13,1092.70,1095.00,1092.70,1095.00,-0.90,125.00,136760.00,-1,51
2024-05-07,1105.70,1105.70,1105.00,1105.00,0.09,100.00,110517.50,1,52
2024-05-06,1104.00,1104.00,1104.00,1104.00,2.00,25.00,27600.00,1,53
2024-04-30,1082.40,1082.40,1082.40,1082.40,2.00,50.00,54120.00,1,54
2024-04-29,1000.00,1061.20,1000.00,1061.20,6.12,100.00,103040.00,1,55
